Provider,Healthgrades,Expertise,Specialty,Issues,Mental Health,Sexuality,Qualifications,Location,Insurance,Psyc_today
Alice Litter,1,"Let's have a conversation. I can offer a fresh perspective and expertise on an issue that is getting in your way. Whether you’re coping with anxiety, depression or problems in your couple relationship, together we'll explore strategies for reducing stress and moving forward in a hopeful direction.
Couples learn to understand each other’s perspective and reach respectful compromises on difficult issues. There will be no blaming or judging in our therapy sessions. The focus will be on nurturing your relationship with greater empathy and trust.
After each session, you’ll have a ""takeaway"" for further reflection or action. I welcome your feedback to ensure our conversations are helpful. The easiest way to reach me is via email--please be sure to include your availability on Tuesday or Thursdays. I look forward to hearing from you.","Marital and Premarital
Depression
Anxiety","Asperger's Syndrome
Couples counseling
Divorce
Grief
Infidelity
Life Transitions
Parenting
Pregnancy, Prenatal, Postpartum
Relationship Issues
Self Esteem
Stress",Mood Disorders,"Gay
Lesbian","Years in Practice: 22 Years
School: Simmons School of Social Work
Year Graduated: 1998
License and State: 110458 Massachusetts","Worcester, Massachusetts 01605 
(978) 716-2785 ","Blue Cross
Blue Shield
BlueCross and BlueShield
HAP | Health Alliance Plan of Michigan
Harvard Pilgrim
Optum
Oxford
Tufts
United Behavioral Health
UnitedHealthcare
Out of Network",1
Cigdem KilicBetebenner,1,"You don’t have to suffer without hope…or help. Whether you’re feeling depressed, anxious, worried and preoccupied, or experiencing blocked creativity, psychotherapy can help you to feel/get better. I work with both individuals and couples. With a decade of experience I have been helping my clients to overcome their obstacles. I can help you too!
I specialize in helping you to identify the thoughts, feelings, or patterns in your life that are keeping you in a place of pain and blocking you from the things or relationships you want.
Just as your history and experiences are unique, so too, is psychotherapy. Working with you, we can come up with an approach that works best for your needs. Now, I welcome the opportunity to meet you and help you in your new journey!","Addiction
Depression
Anxiety","ADHD
Alcohol Use
Anger Management
Antisocial Personality
Behavioral Issues
Bipolar Disorder
Borderline Personality
Chronic Relapse
Domestic Abuse
Domestic Violence
Drug Abuse
Eating Disorders
Emotional Disturbance
Gambling
Grief
Infidelity
Internet Addiction
Life Coaching
Marital and Premarital
Obesity
Obsessive-Compulsive (OCD)
Oppositional Defiance
PTSD
Parenting
Peer Relationships
Pregnancy, Prenatal, Postpartum
Relationship Issues
Self Esteem
Self-Harming
Sex Therapy
Sexual Abuse
Sexual Addiction
Substance Use
Suicidal Ideation
Trauma and PTSD
Video Game Addiction","Mood Disorders
Personality Disorders
Thinking Disorders",,"School: Boston Graduate School of Psychoanalysis
License and State: 8025 Massachusetts","797 Washington Street 
Suite 4
Newtonville, Massachusetts 02460 
(617) 936-8917 ","AllWays Health Partners
BMC Health Net
BlueCross and BlueShield
Fallon Health
Group Insurance Commission
Harvard Pilgrim
Optum
Senior Whole Health
Tufts
UnitedHealthcare",1
Donna Harris Richards,1,"""What we think, that we become.” -Gandhi. As an AASECT Certified Sex Therapist, Couples Therapist and Relationship Therapist, I help clients develop and maintain pleasure, sexual health, well-being, passion, fun, and joy. Would you like to be happy, achieve your dreams and live the best life possible? Find compassionate support, guidance and encouragement in a safe, comforting environment. I have eighteen years of experience (graduated Magna Cum Laude) helping clients with relationships, sexuality, anxiety, depression, self-esteem, trauma, parenting, substance use, illnesses and more.
As an AASECT Certified Sex Therapist and Couples/Relationship Therapist, my professional counseling style includes narrative therapy, cognitive-behavioral therapy (CBT), mindfulness (MBCT) and evidenced-based practices, earning the reputation of being a highly effective and affable professional, setting clients at ease. Check reviews at www.healthgrades.com.
My practice location is a discrete, private, unique, home-office setting giving clients anonymity in a warm, welcoming environment. My professional, real-world experience in the arts and business for more than forty-five years has given me a broad, unique range of experience useful in helping others meet their goals. Please feel free to give me a call today.","Sex Therapy
Marital and Premarital
Relationship Issues","ADHD
Addiction
Alcohol Use
Anxiety
Behavioral Issues
Career Counseling
Codependency
Coping Skills
Couples Therapy
Depression
Divorce
Family Conflict
Grief
Infidelity
Life Coaching
Life Transitions
Men's Issues
Menopause, Peri-menopause. Post-menopause
Obesity
Parenting
Peer Relationships
Self Esteem
Sleep or Insomnia
Spirituality
Stress
Substance Use
Trauma and PTSD
Weight Loss
Women's Issues","Impulse Control Disorders
Mood Disorders","Bisexual
Gay Lesbian","Years in Practice: 17 Years
School: Rhode Island College (RIC)
Year Graduated: 2003
License and State: 115538 Massachusetts","New Bedford, Massachusetts 02740 
(508) 717-3760 ","Blue Cross
Blue Shield
BlueCross and BlueShield
HPI Health Plans Inc, Southcoast Health Plan
Medicaid only with Medicare (QMB Provider)
Medicare
Out of network benefits; Unicare and GIC
Tufts
Out of Network",1
Geoffrey Whitley,1,"Hi! I am a medication and/or therapy provider. I use a very client-centered approach in therapy and utilize CBT and narrative therapy frequently. I have a strong belief that the mind and body are highly integrated and that physical and mental treatment are inseparable. For this reason, clients have the option of participating in a new model of treatment. This would include exercising during therapy sessions - brisk or slow walking on treadmills or Stairmaster at the client's comfort level. Of course, regular counseling therapy and/or medication prescriptions are provided for those not interested in combining exercise.
Along with these therapeutic techniques, weight loss through medication, supplement use, and food consumption recommendations can be an aspect of treatment. Genesight Genetic testing is also available to determine the most likely medications that will work for a client.
Ages 8 years and up are welcome for treatment. I accept Blue Cross insurance and cash/credit cards on sliding scale. Parking is available and I am readily accessible through public transportation. Saturday and Sunday appointments are available.","Depression
Anxiety
Eating Disorders","ADHD
Addiction
Autism
Bipolar Disorder
Child or Adolescent
Medication Management
Obesity
Obsessive-Compulsive (OCD)
Pregnancy, Prenatal, Postpartum
Trauma and PTSD
Traumatic Brain Injury
Weight Loss","Dissociative Disorders
Elderly Persons Disorders
Impulse Control Disorders
Mood Disorders
Personality Disorders
Psychosis
Thinking Disorders","Bisexual
Gay
Lesbian","Whitley Wellness
C-8 Shipway Place 
Boston, Massachusetts 02129 
(325) 515-5248 ","Years in Practice: 4 Years
School: Boston College
Year Graduated: 2011
License and State: RN2267850 Massachusetts","AllWays Health Partners
Blue Care Network
Blue Cross
Blue Shield
BlueCross and BlueShield
Massachusetts Behavioral Health Partnership (MBHP)
Out of Network",1
Omar Haque,1,"**CURRENTLY ACCEPTING NEW PATIENTS; PLEASE CONTACT ME IF: (1) YOU HAVE SYMPTOMS OF DEPRESSION, AND (2) YOU HAVE TRIED 4+ PSYCHIATRIC MEDICATIONS IN YOUR LIFE; THANKS!** Greetings! I specialize in the individualized and compassionate treatment of depression that has not responded to prior medication treatments, and if this is what you or your loved one is struggling with, you have found the right place. Nothing makes me happier than seeing my patients recover from depression and return to their lives and relationships feeling whole again.
I received my M.D. at Harvard Medical School, and did Postdoctoral Fellowships in Psychology and Anthropology at Harvard University, and did my residency in Adult Psychiatry and Ph.D. at Brown University. I am a Board-Certified by the American Board of Psychiatry and Neurology.
Unlike most Psychiatrists, I take insurance. We do all the paperwork to get your treatment covered; you just focus on getting healthier. If you can't afford treatment, that's ok; we find a way to make it work anyway. Please be in touch for a free consultation if interested.","Depression
Mood Disorders
Stress","ADHD
Addiction
Adoption
Alcohol Use
Alzheimer's
Anger Management
Antisocial Personality
Anxiety
Asperger's Syndrome
Autism
Behavioral Issues
Borderline Personality
Career Counseling
Child or Adolescent
Chronic Illness
Chronic Impulsivity
Chronic Pain
Chronic Relapse
Codependency
Coping Skills
Developmental Disorders
Divorce
Domestic Abuse
Domestic Violence
Drug Abuse
Dual Diagnosis
Eating Disorders
Emotional Disturbance
Family Conflict
Gambling
Grief
Hoarding
Infertility
Infidelity
Intellectual Disability
Internet Addiction
Learning Disabilities
Life Coaching
Life Transitions
Marital and Premarital
Medical Detox
Medication Management
Men's Issues
Narcissistic Personality
Obesity
Obsessive-Compulsive (OCD)
Oppositional Defiance
Parenting
Peer Relationships
Pregnancy, Prenatal, Postpartum
Racial Identity
Relationship Issues
School Issues
Self Esteem
Self-Harming
Sex Therapy
Sexual Abuse
Sexual Addiction
Sleep or Insomnia
Spirituality
Sports Performance
Substance Use
Suicidal Ideation
Teen Violence
Testing and Evaluation
Transgender
Trauma and PTSD
Traumatic Brain Injury
Video Game Addiction
Weight Loss
Women's Issues","Dissociative Disorders
Elderly Persons Disorders
Impulse Control Disorders
Personality Disorders
Psychosis
Thinking Disorders",,"Brookline, Massachusetts 02446 ","School: Harvard Medical School
Year Graduated: 2010
License and State: 269936 Massachusetts
Board Certification: American Board of Psychiatry and Neurology","Aetna
AllWays Health Partners
Anthem
Beacon
Blue Cross
Blue Shield
BlueCross and BlueShield
Cigna
Harvard Pilgrim
I accept most major insurance plans in MA
Medicare
Network Health
Optum
Oxford
Tufts
UnitedHealthcare
Out of Network",1
Ruxandra Carp,1,"BcBs/ AllWays Partners Healthcare. Completed Harvard psychiatry residency and fellowship training. Dual Board Certifications in Adult Psychiatry and in Child Psychiatry. Recipient of Doctors' Choice Awards (8/2015). I focus on developing a collaborative relationship with my clients and I am deeply interested in getting to know their unique strengths, needs, and life experiences. I combine evidence based medicine with various therapeutic interventions, to empower my clients to balance their emotions, thoughts, and reactions. Subsequently, they develop healthier life patterns and pursue their personal, academic, and career goals.
CLIENT TESTIMONIALS: www.ruxandracarpmd.com COLLEAGUE TESTIMONIALS: www.doctors choice awards.org/nominees/dr-ruxandra-carp
Additional degrees enhacing my understanding of how the mind works and my repertoir of therapy interventions: Master of Arts in Clinical Psychology. Doctoral level education in clinical psychology (PsyD doctoral candidate). Fellowship in Psychoanalysis. Life Coach certification. Master Reiki Therapy ceritfication. Master of Arts in Anthropology.","Child or Adolescent
Mood Disorders
Medication Management","ADHD
Anger Management
Anxiety
Asperger's Syndrome
Autism
Behavioral Issues
Bipolar Disorder
Career Counseling
Codependency
Coping Skills
Depression
Developmental Disorders
Emotional Disturbance
Grief
Infertility
Infidelity
Internet Addiction
Learning Disabilities
Life Coaching
Obesity
Obsessive-Compulsive (OCD)
Oppositional Defiance
Parenting
School Issues
Self Esteem
Sleep or Insomnia
Testing and Evaluation
Trauma and PTSD
Traumatic Brain Injury
Weight Loss
Women's Issues",,"Types of Therapy
Cognitive Behavioral (CBT)
Eclectic
Family Systems
Humanistic
Play Therapy
Psychodynamic
Modality

Individuals
Family","Ruxandra Carp M.D., Child & Adult Psychiatry
One Mt Vernon St 
# 208
Winchester, Massachusetts 01890 
(781) 519-0442 ","Years in Practice: 10+ Years
School: Harvard Residency and Fellowship
License and State: 243367 Massachusetts
Board Certification: Adult Psychiatry","AllWays Health Partners
Anthem
BlueCross and BlueShield
Harvard Pilgrim
UnitedHealthcare
Out of Network",1
Eric Zhou,1,"Are you struggling from sleepless nights and feel like you have ""tried everything"" to improve your sleep? If you are tired of feeling tired and want to make meaningful changes to your sleep, I can help. Imagine what it would feel like to wake up in the morning and feel rested, refreshed, and ready to take on your day. This is possible without the use of prescription or over-the-counter medications. Even if you have trouble shutting your mind off at night, or are coping with anxiety or depression, we can work together to significantly improve your sleep at night. With better sleep comes the strength to tackle your biggest challenges.
I specialize in delivering brief, evidence-based, drug-free sleep treatments. I was trained at the University of Miami, Brown University, and Harvard Medical School and am committed to helping you take realistic steps towards improving the psychological and emotional health goals that are meaningful for you.
In order to accommodate busy schedules, I offer secure telehealth (videoconference) appointments that can be scheduled during the evening and on weekends. Together, we will create a customized plan to get you, your sleep, and your mental health back on track.","Sleep or Insomnia
Depression
Anxiety","Chronic Illness
Coping Skills
Stress",,"Types of Therapy

Cognitive Behavioral (CBT)
Cognitive Behavioral Therapy for Insomnia (CBT-I)
Integrative
Motivational Interviewing
Modality

Individuals
Couples
Family
Video/Skype

Online Counseling","Newton, Massachusetts 02459 
(617) 651-0851 ","Years in Practice: 8 Years
School: University of Miami
Year Graduated: 2012
License and State: 10000 Massachusetts",Out of Network,1
Jonathan Perry,1,"I've been doing this for a long time, and I've done my best work with clients who are asking these questions: Who have I been, who am I now, and who do I want to be? If you're depressed; if your relationships have fallen apart; if you've been through some horrible experiences-then those are probably important questions for you. I'll do my best to help you rediscover your strength and your confidence in finding your own answers and daring to live them. ""Hope"" will be our tool, and ""wellness"" will be our path together.
My primary specialty is bipolar disorder. I focus especially on the concept of ""bipolar wellness"", meaning our figuring out together not only how to achieve mood stability and symptom reduction but also how to create and sustain a life that is worth living and staying well for.
I also facilitate ""bipolar wellness groups"" for individuals with bipolar disorder. These groups offer relief from the isolation of bipolar; strategies to live a fulfilling life; encouragement to keep on living well when the going gets rough; and a support group to help with tough decision-making. My Bipolar Wellness Groups bring together individuals with bipolar disorder so that they can help each other with feelings of isolation; with ideas and strategies to live a more fulfilling life; with encouragement to keep on living well when it just seems too hard; with good-natured confrontation when someone is about to make a bad or dangerous decision; and with validating their ""interesting"" sense of humor (we laugh a lot). We meet weekly, and we spend a lot of time getting to know each other so we can celebrate together when good things happen.","Bipolar Disorder
Depression
Relationship Issues","Emotional Disturbance
Grief
School Issues
Spirituality
Transgender
Trauma and PTSD",Mood Disorders,"Bisexual
Gay
Lesbian","2013 N Green Acres Rd, Suite C 
Fayetteville, Arkansas 72703 
(479) 202-0138 ","Years in Practice: 30+ Years
School: State University of New York at Buffalo
Year Graduated: 1984
License and State: 87-05P Arkansas","BlueCross and BlueShield
Out of Network",1
Mark Nickolas,1,"Like all of us, you need to perform in the daily arenas of your life — work, relationships, health, personal growth. I’m here to help you succeed. Creating a strong therapeutic relationship with each other will serve as the foundation for everything else we'll do. My aim will be to get to know you as a unique person with your own story and vision, help you identify the changes you're ready to make, and guide and support you in making them so you can take on the challenges before you and achieve the outcomes you desire.
I've been trained in methods and techniques of Psychodynamic Psychotherapy, Cognitive Behavioral Therapy (CBT), Emotionally Focused Couple Therapy (EFT), Pastoral & Spiritually Oriented Counseling, Internal Family Systems Therapy (IFS), Systems Centered Group Therapy (SCT), Eye Movement Desensitization Reprocessing (EMDR) and other psychotherapeutic methods
Whatever the problem -- emotional, relational, or other -- we'll address it. We will develop a treatment plan together that is right for you. My way is straightforward, supportive, honest, a bit challenging, always for your best interest. Invest in your inner resources. Email or call to make an appointment. https://businesstalkradio1.com/mark-nickolas-12-10 Sunday Evening Adult Empowerment Group

In this Group members strengthen their capacity to listen to others and to themselves, explore their present experience, and express themselves with clarity and confidence. They typically leave the group each week feeling stronger, more connected, more clear, and more ready to take on the challenges in their lives.","Relationship Issues
Self Esteem
Grief","ADHD
Addiction
Anxiety
Behavioral Issues
Borderline Personality
Child or Adolescent
Codependency
Coping Skills
Depression
Divorce
Emotional Disturbance
Family Conflict
Life Coaching
Life Transitions
Marital and Premarital
Men's Issues
Obsessive-Compulsive (OCD)
Parenting
Peer Relationships
Sex Therapy
Spirituality
Stress
Suicidal Ideation
Trauma and PTSD
confidence, assertiveness, focus","Dissociative Disorders
Elderly Persons Disorders
Impulse Control Disorders
Mood Disorders
Personality Disorders
Thinking Disorders","Types of Therapy

Attachment-based
Emotionally Focused
Existential
Family Systems
Humanistic
Imago
Interpersonal
Mindfulness-Based (MBCT)
Motivational Interviewing
Parts work (Internal Family Systems)
Psychodynamic
Relational
Somatic
Systems-Centered Group Therapy
Transpersonal
Modality

Individuals
Couples
Group
Video/Skype

Online Counseling","Inner Resources Counseling
74 Atlantic Avenue 
Marblehead, Massachusetts 01945 
(617) 501-1083 ","Years in Practice: 10+ Years
School: Boston University
License and State: 7926 Massachusetts","BlueCross and BlueShield
Out of Network",1
Peter Williams,1,"Dr. Peter Williams is a Licensed Psychologist with over 30-years clinical experience. He has vast experience in conducting effective therapy with Individuals, Couples and Families. He treats individuals with Anxiety Disorders, ADHD and Depression. He provides top-flight service and treatment.
Dr. Williams provides timely and effective treatment that is affordable for anyone who seeks his assistance. He is available for consultations and offers his patients easy access via telephone, email and text.","ADHD
Depression
Anxiety","Addiction
Adoption
Alcohol Use
Anger Management
Behavioral Issues
Bipolar Disorder
Career Counseling
Child or Adolescent
Chronic Impulsivity
Codependency
Coping Skills
Developmental Disorders
Divorce
Domestic Abuse
Domestic Violence
Drug Abuse
Dual Diagnosis
Eating Disorders
Emotional Disturbance
Family Conflict
Grief
Infidelity
Intellectual Disability
Learning Disabilities
Life Coaching
Marital and Premarital
Medication Management
Men's Issues
Obsessive-Compulsive (OCD)
Oppositional Defiance
Parenting
Peer Relationships
Pregnancy, Prenatal, Postpartum
Relationship Issues
School Issues
Self Esteem
Sex Therapy
Sexual Abuse
Sexual Addiction
Sports Performance
Substance Use
Teen Violence
Testing and Evaluation
Trauma and PTSD","Elderly Persons Disorders
Impulse Control Disorders
Mood Disorders
Personality Disorders
Thinking Disorders","Bisexual
Gay
Lesbian","45 Pleasant Street 
Post Office Box 1197
Newburyport, Massachusetts 01950 
(978) 705-6119 ","Years in Practice: 20+ Years
School: University of Michigan
License and State: 3525 Massachusetts","Aetna
American Behavioral
Anthem
Beacon
Blue Cross
Blue Shield
BlueCross and BlueShield
Cigna
Empire BlueCross BlueShield
Harvard Pilgrim
Magellan
MultiPlan
Optima
Optum
Tufts
Out of Network",1
